fecha,tmax_c,tmin_c
2015-01-01,30.83,19.68
2015-01-02,29.51,20.12
2015-01-03,30.2,18.7
2015-01-04,30.88,17.95
2015-01-05,31.14,19.08
2015-01-06,29.95,18.57
2015-01-07,30.38,19.42
2015-01-08,31.01,18.77
2015-01-09,30.72,18.81
2015-01-10,30.78,20.14
2015-01-11,30.94,20.24
2015-01-12,29.96,19.55
2015-01-13,31.27,19.42
2015-01-14,31.77,19.67
2015-01-15,31.41,19.7
2015-01-16,32.21,20.6
2015-01-17,30.76,20.91
2015-01-18,29.46,19.7
2015-01-19,31.0,18.55
2015-01-20,31.02,18.12
2015-01-21,30.87,18.69
2015-01-22,31.27,19.31
2015-01-23,31.31,18.09
2015-01-24,31.53,18.33
2015-01-25,32.08,19.02
2015-01-26,31.18,18.85
2015-01-27,32.59,18.5
2015-01-28,32.25,18.42
2015-01-29,32.15,18.1
2015-01-30,32.12,18.42
2015-01-31,31.41,19.7
2015-02-01,30.65,20.65
2015-02-02,31.15,19.57
2015-02-03,31.85,19.11
2015-02-04,32.54,19.81
2015-02-05,32.34,19.19
2015-02-06,33.14,19.26
2015-02-07,32.27,18.59
2015-02-08,32.64,19.13
2015-02-09,33.38,19.45
2015-02-10,33.03,21.07
2015-02-11,32.46,21.15
2015-02-12,29.63,21.49
2015-02-13,30.83,20.42
2015-02-14,32.06,21.15
2015-02-15,33.13,19.81
2015-02-16,33.29,19.12
2015-02-17,33.25,19.21
2015-02-18,34.11,19.41
2015-02-19,32.79,18.55
2015-02-20,33.61,17.7
2015-02-21,32.02,19.4
2015-02-22,31.87,19.92
2015-02-23,32.33,19.35
2015-02-24,31.51,19.43
2015-02-25,32.01,19.36
2015-02-26,32.57,19.05
2015-02-27,33.87,19.07
2015-02-28,30.25,20.19
2015-03-01,32.33,18.35
2015-03-02,32.52,19.0
2015-03-03,32.1,18.5
2015-03-04,33.77,19.42
2015-03-05,33.11,19.71
2015-03-06,31.56,18.99
2015-03-07,32.71,18.03
2015-03-08,32.5,19.08
2015-03-09,32.85,17.54
2015-03-10,32.15,20.3
2015-03-11,32.93,20.42
2015-03-12,32.48,19.16
2015-03-13,32.3,19.29
2015-03-14,33.19,19.16
2015-03-15,32.05,18.98
2015-03-16,33.8,19.76
2015-03-17,32.5,19.56
2015-03-18,32.79,19.67
2015-03-19,32.69,20.04
2015-03-20,32.19,19.61
2015-03-21,33.13,19.95
2015-03-22,33.54,19.03
2015-03-23,33.84,19.13
2015-03-24,34.32,19.89
2015-03-25,34.8,19.47
2015-03-26,35.21,19.29
2015-03-27,34.41,20.68
2015-03-28,34.64,21.14
2015-03-29,34.31,20.33
2015-03-30,33.6,19.8
2015-03-31,30.86,19.61
2015-04-01,33.06,19.4
2015-04-02,32.16,20.59
2015-04-03,30.57,20.71
2015-04-04,31.56,20.78
2015-04-05,28.58,20.22
2015-04-06,31.86,19.41
2015-04-07,33.08,19.73
2015-04-08,31.6,20.59
2015-04-09,31.04,20.52
2015-04-10,33.47,20.38
2015-04-11,32.75,20.46
2015-04-12,32.54,21.82
2015-04-13,33.31,20.95
2015-04-14,30.99,21.04
2015-04-15,33.1,19.71
2015-04-16,30.58,20.76
2015-04-17,30.92,20.22
2015-04-18,28.96,20.22
2015-04-19,29.28,20.57
2015-04-20,31.27,20.24
2015-04-21,32.83,20.87
2015-04-22,33.11,19.51
2015-04-23,33.7,19.97
2015-04-24,32.38,20.27
2015-04-25,32.32,21.14
2015-04-26,33.24,21.12
2015-04-27,34.76,21.63
2015-04-28,35.11,22.25
2015-04-29,34.42,21.47
2015-04-30,36.03,21.74
2015-05-01,35.88,19.98
2015-05-02,34.75,20.06
2015-05-03,35.29,20.23
2015-05-04,35.66,20.69
2015-05-05,35.48,20.58
2015-05-06,34.94,20.29
2015-05-07,34.65,20.65
2015-05-08,33.87,21.74
2015-05-09,34.53,21.57
2015-05-10,34.77,20.36
2015-05-11,34.64,21.58
2015-05-12,34.82,21.2
2015-05-13,34.78,21.29
2015-05-14,34.19,21.01
2015-05-15,31.77,20.63
2015-05-16,33.75,20.84
2015-05-17,33.12,20.24
2015-05-18,31.56,21.26
2015-05-19,28.62,21.18
2015-05-20,29.68,21.3
2015-05-21,31.83,21.28
2015-05-22,33.04,21.07
2015-05-23,31.44,21.45
2015-05-24,30.6,21.25
2015-05-25,30.15,20.29
2015-05-26,31.57,20.13
2015-05-27,31.03,20.83
2015-05-28,29.98,21.38
2015-05-29,26.49,21.45
2015-05-30,29.47,20.43
2015-05-31,31.28,20.82
2015-06-01,30.78,21.11
2015-06-02,29.61,21.38
2015-06-03,29.93,21.29
2015-06-04,30.69,21.54
2015-06-05,29.21,21.08
2015-06-06,29.53,20.97
2015-06-07,29.11,21.31
2015-06-08,29.68,21.31
2015-06-09,32.63,20.37
2015-06-10,32.36,20.25
2015-06-11,31.71,20.99
2015-06-12,29.75,21.55
2015-06-13,31.0,21.38
2015-06-14,31.39,21.42
2015-06-15,31.27,20.77
2015-06-16,28.08,21.13
2015-06-17,29.81,20.89
2015-06-18,30.97,20.74
2015-06-19,30.6,21.03
2015-06-20,31.69,20.94
2015-06-21,30.2,20.99
2015-06-22,26.72,21.16
2015-06-23,28.8,20.38
2015-06-24,29.21,21.48
2015-06-25,30.76,21.24
2015-06-26,29.34,20.81
2015-06-27,31.01,20.83
2015-06-28,27.81,21.37
2015-06-29,31.34,20.31
2015-06-30,28.91,19.46
2015-07-01,30.96,20.58
2015-07-02,31.36,21.04
2015-07-03,30.57,20.66
2015-07-04,32.21,20.97
2015-07-05,32.01,21.09
2015-07-06,31.19,20.58
2015-07-07,27.14,20.43
2015-07-08,27.01,20.62
2015-07-09,30.04,20.0
2015-07-10,28.94,20.69
2015-07-11,28.84,20.43
2015-07-12,30.67,20.47
2015-07-13,28.53,21.09
2015-07-14,28.33,20.51
2015-07-15,29.16,20.97
2015-07-16,26.57,20.28
2015-07-17,28.47,19.99
2015-07-18,26.18,20.11
2015-07-19,28.12,20.35
2015-07-20,28.78,20.13
2015-07-21,27.08,20.75
2015-07-22,27.17,20.6
